step,station_id,station_name,url,filename
1,342f4638-f4c1-4992-9253-f85cecdf2157,Student Health Center,https://pages-husband-douglas-bite.trycloudflare.com/?team=yellow-1234&station=342f4638-f4c1-4992-9253-f85cecdf2157&scan=1,01_Student_Health_Center_342f4638.png
2,9fa91f85-8dae-4d27-977f-2bb77a6fc932,Nutwood Parking Structure,https://pages-husband-douglas-bite.trycloudflare.com/?team=yellow-1234&station=9fa91f85-8dae-4d27-977f-2bb77a6fc932&scan=1,02_Nutwood_Parking_Structure_9fa91f85.png
3,ada9afcb-a131-4dbd-8322-db5a9bf05513,David,https://pages-husband-douglas-bite.trycloudflare.com/?team=yellow-1234&station=ada9afcb-a131-4dbd-8322-db5a9bf05513&scan=1,03_David_ada9afcb.png
4,5eccd0a7-95ed-417e-93d2-4c1e4c3c8ec3,Nutwood,https://pages-husband-douglas-bite.trycloudflare.com/?team=yellow-1234&station=5eccd0a7-95ed-417e-93d2-4c1e4c3c8ec3&scan=1,04_Nutwood_5eccd0a7.png
5,32e9cf74-68e1-4ef7-8c3a-3aadcf401257,CS,https://pages-husband-douglas-bite.trycloudflare.com/?team=yellow-1234&station=32e9cf74-68e1-4ef7-8c3a-3aadcf401257&scan=1,05_CS_32e9cf74.png
6,04de5c45-006d-4f25-9b1c-f4dcab214768,Humanities Tower,https://pages-husband-douglas-bite.trycloudflare.com/?team=yellow-1234&station=04de5c45-006d-4f25-9b1c-f4dcab214768&scan=1,06_Humanities_Tower_04de5c45.png
7,7d1ba2f1-9b6a-4690-a88d-ecd385e609c2,Health,https://pages-husband-douglas-bite.trycloudflare.com/?team=yellow-1234&station=7d1ba2f1-9b6a-4690-a88d-ecd385e609c2&scan=1,07_Health_7d1ba2f1.png
8,6e681c03-1914-4945-bc1d-f3f6de81387e,Cafeteria,https://pages-husband-douglas-bite.trycloudflare.com/?team=yellow-1234&station=6e681c03-1914-4945-bc1d-f3f6de81387e&scan=1,08_Cafeteria_6e681c03.png
9,5682e30b-49f7-435c-bd16-fde7ee8c66a5,CS Quad,https://pages-husband-douglas-bite.trycloudflare.com/?team=yellow-1234&station=5682e30b-49f7-435c-bd16-fde7ee8c66a5&scan=1,09_CS_Quad_5682e30b.png
10,d228d7a8-1d4b-4194-a745-2996c88f3fbd,Fullerton Arboretum,https://pages-husband-douglas-bite.trycloudflare.com/?team=yellow-1234&station=d228d7a8-1d4b-4194-a745-2996c88f3fbd&scan=1,10_Fullerton_Arboretum_d228d7a8.png
